seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,alpha,algorithm,mutation
26133,100,1,2,16,125,20000,1,-78,-68,0.2,Mu1-const,XRAI_0.250000
29435,100,1,2,17,180,20000,1,-80,-70,0.2,Mu1-const,XRAI_0.250000
32937,100,1,2,18,401,20000,1,-76,-64,0.2,Mu1-const,XRAI_0.250000
36639,100,1,2,19,111,20000,1,-80,-72,0.2,Mu1-const,XRAI_0.250000
40541,100,1,2,20,323,20000,1,-82,-69,0.2,Mu1-const,XRAI_0.250000
44643,100,1,2,21,393,20000,1,-81,-68,0.2,Mu1-const,XRAI_0.250000
48945,100,1,2,22,190,20000,1,-81,-68,0.2,Mu1-const,XRAI_0.250000
53447,100,1,2,23,216,20000,1,-80,-67,0.2,Mu1-const,XRAI_0.250000
58149,100,1,2,24,121,20000,1,-82,-71,0.2,Mu1-const,XRAI_0.250000
63051,100,1,2,25,266,20000,1,-80,-67,0.2,Mu1-const,XRAI_0.250000
68153,100,1,2,26,412,20000,1,-79,-66,0.2,Mu1-const,XRAI_0.250000
73455,100,1,2,27,288,20000,1,-83,-70,0.2,Mu1-const,XRAI_0.250000
78957,100,1,2,28,648,20000,1,-81,-68,0.2,Mu1-const,XRAI_0.250000
84659,100,1,2,29,242,20000,1,-84,-72,0.2,Mu1-const,XRAI_0.250000
509,100,3,2,0,2144,20000,1,-48,-40,0.2,Mu1-const,XRAI_0.250000
613,100,3,2,1,3998,20000,1,-45,-38,0.2,Mu1-const,XRAI_0.250000
